Quotes,Author
"<div class=""author-quotes"">“You know you’re in love when you can’t fall asleep because reality is finally better than your dreams.”<span class=""quote-author-name"">– Dr. Suess</span></div>","<span class=""quote-author-name"">– Dr. Suess</span>"
"<div class=""author-quotes"">“I’m selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can’t handle me at my worst, then you sure as hell don’t deserve me at my best.”<span class=""quote-author-name"">– Marilyn Monroe</span></div>","<span class=""quote-author-name"">– Marilyn Monroe</span>"
"<div class=""author-quotes"">“Get busy living or get busy dying.”<span class=""quote-author-name"">– Stephen King</span></div>","<span class=""quote-author-name"">– Stephen King</span>"
"<div class=""author-quotes"">“The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.”<span class=""quote-author-name"">– Mark Caine</span></div>","<span class=""quote-author-name"">– Mark Caine</span>"
"<div class=""author-quotes""><span class=""ezoic-adpicker-ad"" id=""ezoic-pub-ad-placeholder-183""></span><span class=""ezoic-ad medrectangle-4 adtester-container adtester-container-183"" data-ez-name=""keepinspiring_me-medrectangle-4"" style=""display:block !important;float:none;margin-bottom:2px !important;margin-left:0px !important;margin-right:0px !important;margin-top:2px !important;min-height:270px;min-width:300px;text-align:center !important;""><span class=""ezoic-ad"" ezah=""250"" ezaw=""300"" id=""div-gpt-ad-keepinspiring_me-medrectangle-4-0"" style=""position:relative;z-index:0;display:inline-block;width:100%;max-width:1200px;margin-left:auto !important;margin-right:auto !important;min-height:250px;min-width:300px;""><script data-cfasync=""false"" data-ezscrex=""false"" style=""display:none;"" type=""text/javascript"">eval(ez_write_tag([[300,250],'keepinspiring_me-medrectangle-4','ezslot_1',183,'0','0']));</script></span></span>“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”<span class=""quote-author-name"">– Helen Keller</span></div>","<span class=""quote-author-name"">– Helen Keller</span>"
"<div class=""author-quotes"">“Twenty years from now you will be more disappointed by the things that you didn’t do than by the ones you did do.”<span class=""quote-author-name"">– Mark Twain</span></div>","<span class=""quote-author-name"">– Mark Twain</span>"
"<div class=""author-quotes"">“When I dare to be powerful – to use my strength in the service of my vision, then it becomes less and less important whether I am afraid.”<span class=""quote-author-name"">– Audre Lorde</span></div>","<span class=""quote-author-name"">– Audre Lorde</span>"
"<div class=""author-quotes"">“Great minds discuss ideas; average minds discuss events; small minds discuss people.”<span class=""quote-author-name"">– Eleanor Roosevelt</span><span class=""ezoic-adpicker-ad"" id=""ezoic-pub-ad-placeholder-184""></span></div>","<span class=""quote-author-name"">– Eleanor Roosevelt</span>"
"<div class=""author-quotes"">“A successful man is one who can lay a firm foundation with the bricks others have thrown at him.”<span class=""quote-author-name"">– David Brinkley</span></div>","<span class=""quote-author-name"">– David Brinkley</span>"
"<div class=""author-quotes"">“Those who dare to fail miserably can achieve greatly.”<span class=""quote-author-name"">– <a href=""https://www.keepinspiring.me/30-of-the-best-q…m-john-f-kennedy/"">John F. Kennedy</a></span></div>","<span class=""quote-author-name"">– <a href=""https://www.keepinspiring.me/30-of-the-best-q…m-john-f-kennedy/"">John F. Kennedy</a></span>"
"<div class=""author-quotes"">“I can’t give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.”<span class=""quote-author-name"">-Herbert Bayard Swope</span></div>","<span class=""quote-author-name"">-Herbert Bayard Swope</span>"
"<div class=""author-quotes"">“Would you like me to give you a formula for success? It’s quite simple, really: Double your rate of failure. You are thinking of failure as the enemy of success. But it isn’t at all. You can be discouraged by failure or you can learn from it, so go ahead and make mistakes. Make all you can. Because remember that’s where you will find success.”<span class=""quote-author-name"">– Thomas J. Watson</span></div>","<span class=""quote-author-name"">– Thomas J. Watson</span>"
"<div class=""author-quotes"">“It is hard to fail, but it is worse never to have tried to succeed.”<span class=""quote-author-name"">– Theodore Roosevelt</span></div>","<span class=""quote-author-name"">– Theodore Roosevelt</span>"
"<div class=""author-quotes""><span class=""ezoic-adpicker-ad"" id=""ezoic-pub-ad-placeholder-185""></span><span class=""ezoic-ad box-4 adtester-container adtester-container-185"" data-ez-name=""keepinspiring_me-box-4"" style=""display:block !important;float:none;margin-bottom:2px !important;margin-left:0px !important;margin-right:0px !important;margin-top:2px !important;min-height:270px;min-width:300px;text-align:center !important;""><span class=""ezoic-ad ezoic-adl"" ezah=""250"" ezaw=""300"" id=""div-gpt-ad-keepinspiring_me-box-4-0"" style=""position:relative;z-index:0;display:inline-block;width:100%;max-width:1200px;margin-left:auto !important;margin-right:auto !important;min-height:250px;min-width:300px;""><script data-cfasync=""false"" data-ezscrex=""false"" style=""display:none;"" type=""text/javascript"">eval(ez_write_tag([[300,250],'keepinspiring_me-box-4','ezslot_0',185,'0','0']));</script></span></span>“I’m a success today because I had a friend who believed in me and I didn’t have the heart to let him down.”<span class=""quote-author-name"">– <a href=""https://www.keepinspiring.me/abraham-lincoln-quotes/"">Abraham Lincoln</a></span></div>","<span class=""quote-author-name"">– <a href=""https://www.keepinspiring.me/abraham-lincoln-quotes/"">Abraham Lincoln</a></span>"
"<div class=""author-quotes"">“Love yourself first and everything else falls into line. You really have to love yourself to get anything done in this world.”<span class=""quote-author-name"">– Lucille Ball</span></div>","<span class=""quote-author-name"">– Lucille Ball</span>"
"<div class=""author-quotes"">“Let us always meet each other with smile, for the smile is the beginning of love.”<span class=""quote-author-name"">– Mother Teresa</span></div>","<span class=""quote-author-name"">– Mother Teresa</span>"
"<div class=""author-quotes"">“Challenges are what make life interesting and overcoming them is what makes life meaningful.”<span class=""quote-author-name"">– Joshua J. Marine</span></div>","<span class=""quote-author-name"">– Joshua J. Marine</span>"
"<div class=""author-quotes"">“Love is a serious mental disease.”<span class=""quote-author-name"">– Plato</span></div>","<span class=""quote-author-name"">– Plato</span>"
"<div class=""author-quotes""><span class=""ezoic-adpicker-ad"" id=""ezoic-pub-ad-placeholder-186""></span>“Our greatest fear should not be of failure… but of succeeding at things in life that don’t really matter.”<span class=""quote-author-name"">– Francis Chan</span></div>","<span class=""quote-author-name"">– Francis Chan</span>"
"<div class=""author-quotes"">“It had long since come to my attention that people of accomplishment rarely sat back and let things happen to them. They went out and happened to things.”<span class=""quote-author-name"">– Leonardo Da Vinci</span></div>","<span class=""quote-author-name"">– Leonardo Da Vinci</span>"
"<div class=""author-quotes"">“Remember that the happiest people are not those getting more, but those giving more.”<span class=""quote-author-name"">– H. Jackson Brown, Jr.</span></div>","<span class=""quote-author-name"">– H. Jackson Brown, Jr.</span>"
"<div class=""author-quotes"">“It is our choices, that show what we truly are, far more than our abilities.”<span class=""quote-author-name"">– J. K Rowling</span></div>","<span class=""quote-author-name"">– J. K Rowling</span>"
"<div class=""author-quotes"">“Only put off until tomorrow what you are willing to die having left undone.” <span class=""quote-author-name"">– Pablo Picasso</span></div>","<span class=""quote-author-name"">– Pablo Picasso</span>"
"<div class=""author-quotes""><span class=""ezoic-adpicker-ad"" id=""ezoic-pub-ad-placeholder-187""></span><span class=""ezoic-ad banner-1 adtester-container adtester-container-187"" data-ez-name=""keepinspiring_me-banner-1"" style=""display:block !important;float:none;margin-bottom:2px !important;margin-left:0px !important;margin-right:0px !important;margin-top:2px !important;min-height:420px;min-width:580px;text-align:center !important;""><span class=""ezoic-ad"" ezah=""400"" ezaw=""580"" id=""div-gpt-ad-keepinspiring_me-banner-1-0"" style=""position:relative;z-index:0;display:inline-block;width:100%;max-width:1200px;margin-left:auto !important;margin-right:auto !important;min-height:400px;min-width:580px;""><script data-cfasync=""false"" data-ezscrex=""false"" style=""display:none;"" type=""text/javascript"">eval(ez_write_tag([[580,400],'keepinspiring_me-banner-1','ezslot_2',187,'0','0']));</script></span></span>“If you want to be happy, be.” <span class=""quote-author-name"">– Leo Tolstoy</span></div>","<span class=""quote-author-name"">– Leo Tolstoy</span>"
"<div class=""author-quotes"">“Many of life’s failures are people who did not realize how close they were to success when they gave up.” <span class=""quote-author-name"">– Thomas A. Edison</span></div>","<span class=""quote-author-name"">– Thomas A. Edison</span>"
"<div class=""author-quotes"">“If you want to live a happy life, tie it to a goal, not to people or things.” <span class=""quote-author-name"">– Albert Einstein</span></div>","<span class=""quote-author-name"">– Albert Einstein</span>"
"<div class=""author-quotes"">“Success is just a war of attrition. Sure, there’s an element of talent you should probably possess. But if you just stick around long enough, eventually something is going to happen.” <span class=""quote-author-name"">– Dax Shepard</span></div>","<span class=""quote-author-name"">– Dax Shepard</span>"
"<div class=""author-quotes"">“The opposite of love is not hate; it’s indifference.” <span class=""quote-author-name"">– Elie Wiesel</span></div>","<span class=""quote-author-name"">– Elie Wiesel</span>"
"<div class=""author-quotes"">“The good news is that the moment you decide that what you know is more important than what you have been taught to believe, you will have shifted gears in your quest for abundance. Success comes from within, not from without.” <span class=""quote-author-name"">– Elie Wiesel</span></div>","<span class=""quote-author-name"">– Elie Wiesel</span>"
"<div class=""author-quotes"">“I never knew how to worship until I knew how to love.” <span class=""quote-author-name"">– Henry Ward Beecher</span></div>","<span class=""quote-author-name"">– Henry Ward Beecher</span>"
"<div class=""author-quotes""><span class=""ezoic-adpicker-ad"" id=""ezoic-pub-ad-placeholder-188""></span>“Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.” <span class=""quote-author-name"">– Harriet Tubman</span></div>","<span class=""quote-author-name"">– Harriet Tubman</span>"
"<div class=""author-quotes"">“It is impossible to escape the impression that people commonly use false standards of measurement — that they seek power, success and wealth for themselves and admire them in others, and that they underestimate what is of true value in life.” <span class=""quote-author-name"">– Sigmund Freud</span></div>","<span class=""quote-author-name"">– Sigmund Freud</span>"
"<div class=""author-quotes"">“A friend is someone who gives you total freedom to be yourself.” <span class=""quote-author-name"">– Jim Morrison</span></div>","<span class=""quote-author-name"">– Jim Morrison</span>"
"<div class=""author-quotes"">“Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.” <span class=""quote-author-name"">– Harriet Tubman</span></div>","<span class=""quote-author-name"">– Harriet Tubman</span>"
"<div class=""author-quotes""><span class=""ezoic-adpicker-ad"" id=""ezoic-pub-ad-placeholder-189""></span><span class=""ezoic-ad large-leaderboard-2 adtester-container adtester-container-189"" data-ez-name=""keepinspiring_me-large-leaderboard-2"" style=""display:block !important;float:none;margin-bottom:2px !important;margin-left:0px !important;margin-right:0px !important;margin-top:2px !important;min-height:80px;min-width:468px;text-align:center !important;""><span class=""ezoic-ad ezoic-adl"" ezah=""60"" ezaw=""468"" id=""div-gpt-ad-keepinspiring_me-large-leaderboard-2-0"" style=""position:relative;z-index:0;display:inline-block;width:100%;max-width:1200px;margin-left:auto !important;margin-right:auto !important;min-height:60px;min-width:468px;""><script data-cfasync=""false"" data-ezscrex=""false"" style=""display:none;"" type=""text/javascript"">eval(ez_write_tag([[468,60],'keepinspiring_me-large-leaderboard-2','ezslot_8',189,'0','0']));</script></span></span>“Never let the fear of striking out keep you from playing the game.” <span class=""quote-author-name"">– Babe Ruth</span></div>","<span class=""quote-author-name"">– Babe Ruth</span>"
"<div class=""author-quotes"">“Live in the sunshine, swim the sea, drink the wild air.” <span class=""quote-author-name"">– Ralph Waldo Emerson</span></div>","<span class=""quote-author-name"">– Ralph Waldo Emerson</span>"
"<div class=""author-quotes"">“Life is trying things to see if they work.”<span class=""quote-author-name"">– Ray Bradbury</span></div>","<span class=""quote-author-name"">– Ray Bradbury</span>"
"<div class=""author-quotes"">“Success in business requires training and discipline and hard work. But if you’re not frightened by these things, the opportunities are just as great today as they ever were.” <span class=""quote-author-name"">– David Rockefeller</span></div>","<span class=""quote-author-name"">– David Rockefeller</span>"
"<div class=""author-quotes"">“The No. 1 reason people fail in life is because they listen to their friends, family, and neighbors.” <span class=""quote-author-name"">– Napoleon Hill</span></div>","<span class=""quote-author-name"">– Napoleon Hill</span>"
"<div class=""author-quotes"">“Your time is limited, so don’t waste it living someone else’s life. Don’t be trapped by dogma – which is living with the results of other people’s thinking.” <span class=""quote-author-name"">– Steve Jobs</span></div>","<span class=""quote-author-name"">– Steve Jobs</span>"
"<div class=""author-quotes""><span class=""ezoic-adpicker-ad"" id=""ezoic-pub-ad-placeholder-190""></span>“Success is how high you bounce when you hit bottom.” <span class=""quote-author-name"">– George S. Patton</span></div>","<span class=""quote-author-name"">– George S. Patton</span>"
"<div class=""author-quotes"">“You will face many defeats in life, but never let yourself be defeated.” <span class=""quote-author-name"">– Maya Angelou</span></div>","<span class=""quote-author-name"">– Maya Angelou</span>"
"<div class=""author-quotes"">“May you live all the days of your life.” <span class=""quote-author-name"">– Jonathan Swift</span></div>","<span class=""quote-author-name"">– Jonathan Swift</span>"
"<div class=""author-quotes"">“Success is not final, failure is not fatal: it is the courage to continue that counts.” <span class=""quote-author-name"">– <a href=""https://www.keepinspiring.me/winston-churchill-quotes/"">Winston Churchill</a></span></div>","<span class=""quote-author-name"">– <a href=""https://www.keepinspiring.me/winston-churchill-quotes/"">Winston Churchill</a></span>"
"<div class=""author-quotes"">“You’re not obligated to win. You’re obligated to keep trying. To the best you can do everyday.” <span class=""quote-author-name"">– Jason Mraz</span></div>","<span class=""quote-author-name"">– Jason Mraz</span>"
"<div class=""author-quotes""><span class=""ezoic-adpicker-ad"" id=""ezoic-pub-ad-placeholder-191""></span>“If life were predictable it would cease to be life, and be without flavor.” <span class=""quote-author-name"">– Eleanor Roosevelt</span></div>","<span class=""quote-author-name"">– Eleanor Roosevelt</span>"
"<div class=""author-quotes"">“If you don’t design your own life plan, chances are you’ll fall into someone else’s plan. And guess what they have planned for you? Not much.” <span class=""quote-author-name"">– Jim Rohn</span></div>","<span class=""quote-author-name"">– Jim Rohn</span>"
"<div class=""author-quotes"">“The question isn’t who is going to let me; it’s who is going to stop me.” <span class=""quote-author-name"">– Ayn Rand</span></div>","<span class=""quote-author-name"">– Ayn Rand</span>"
"<div class=""author-quotes"">“The three great essentials to achieve anything worthwhile are, first, hard work; second, stick-to-itiveness; third, common sense.” <span class=""quote-author-name"">– Thomas A. Edison</span></div>","<span class=""quote-author-name"">– Thomas A. Edison</span>"
"<div class=""author-quotes"">“The successful warrior is the average man, with laser-like focus.” <span class=""quote-author-name"">– Bruce Lee</span></div>","<span class=""quote-author-name"">– Bruce Lee</span>"
"<div class=""author-quotes"">“A man is a success if he gets up in the morning and gets to bed at night, and in between he does what he wants to do.” <span class=""quote-author-name"">– Bob Dylan</span></div>","<span class=""quote-author-name"">– Bob Dylan</span>"
"<div class=""author-quotes"">“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.” <span class=""quote-author-name"">– Bil Keane</span></div>","<span class=""quote-author-name"">– Bil Keane</span>"
"<div class=""author-quotes"">“Life isn’t about finding yourself. Life is about creating yourself.” <span class=""quote-author-name"">– George Bernard Shaw</span></div>","<span class=""quote-author-name"">– George Bernard Shaw</span>"
"<div class=""author-quotes"">“The whole secret of a successful life is to find out what is one’s destiny to do, and then do it.” <span class=""quote-author-name"">– Henry Ford</span></div>","<span class=""quote-author-name"">– Henry Ford</span>"
"<div class=""author-quotes""><span class=""ezoic-adpicker-ad"" id=""ezoic-pub-ad-placeholder-192""></span><span class=""ezoic-ad leader-1 adtester-container adtester-container-192"" data-ez-name=""keepinspiring_me-leader-1"" style=""display:block !important;float:none;margin-bottom:2px !important;margin-left:0px !important;margin-right:0px !important;margin-top:2px !important;min-height:300px;min-width:336px;text-align:center !important;""><span class=""ezoic-ad"" ezah=""280"" ezaw=""336"" id=""div-gpt-ad-keepinspiring_me-leader-1-0"" style=""position:relative;z-index:0;display:inline-block;width:100%;max-width:1200px;margin-left:auto !important;margin-right:auto !important;min-height:280px;min-width:336px;""><script data-cfasync=""false"" data-ezscrex=""false"" style=""display:none;"" type=""text/javascript"">eval(ez_write_tag([[336,280],'keepinspiring_me-leader-1','ezslot_7',192,'0','0']));</script></span></span>“Success? I don’t know what that word means. I’m happy. But success, that goes back to what in somebody’s eyes success means. For me, success is inner peace. That’s a good day for me.” <span class=""quote-author-name"">– Denzel Washington</span></div>","<span class=""quote-author-name"">– Denzel Washington</span>"
"<div class=""author-quotes"">“A kiss is a lovely trick designed by nature to stop speech when words become superfluous.” <span class=""quote-author-name"">– Ingrid Bergman</span></div>","<span class=""quote-author-name"">– Ingrid Bergman</span>"
"<div class=""author-quotes"">“You miss 100 percent of the shots you never take.” <span class=""quote-author-name"">– Wayne Gretzky</span></div>","<span class=""quote-author-name"">– Wayne Gretzky</span>"
"<div class=""author-quotes"">“In order to write about life first you must live it.” <span class=""quote-author-name""><span class=""quote-author-name"">– Ernest Hemingway<br/>
</span></span><p></p>
<div class=""bc050a93e032cc7b8628c9c1fdcf66d1"" data-index=""1"" style=""float: none; margin:5px 0 5px 0; text-align:center;"">
<span id=""ezoic-pub-ad-placeholder-100""></span>
</div>
<div class=""wp-caption aligncenter"" id=""attachment_8809"" style=""width: 632px""><a href=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min.jpg""><img alt=""A little girl in a pink dress and a tiara reading a fairy tale from a large book"" aria-describedby=""caption-attachment-8809"" class=""lazy lazy-hidden wp-image-8809 size-large"" data-lazy-type=""image"" data-src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min-1024x770.jpg"" data-srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min.jpg 2048w"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""//www.keepinspiring.me/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif"" srcset="""" width=""622""/><noscript><img alt=""A little girl in a pink dress and a tiara reading a fairy tale from a large book"" aria-describedby=""caption-attachment-8809"" class=""wp-image-8809 size-large"" height=""468"" loading=""lazy"" sizes=""(max-width: 622px) 100vw, 622px"" src=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min-1024x770.jpg"" srcset=""https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min-1024x770.jpg 1024w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min-300x226.jpg 300w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min-768x578.jpg 768w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min-622x468.jpg 622w, https://www.keepinspiring.me/wp-content/uploads/2019/10/famous-quotes-12-min.jpg 2048w"" width=""622""/></noscript></a><p class=""wp-caption-text"" id=""caption-attachment-8809""><strong>“Life itself is the most wonderful fairy tale.” – Hans Christian Andersen</strong></p></div>
</div>","<span class=""quote-author-name""><span class=""quote-author-name"">– Ernest Hemingway<br/>
</span></span>"
"<div class=""author-quotes"">“Do not go where the path may lead; go instead where there is no path and leave a trail.” <span class=""quote-author-name"">– Ralph Waldo Emerson</span></div>","<span class=""quote-author-name"">– Ralph Waldo Emerson</span>"
"<div class=""author-quotes"">“We are what we repeatedly do; excellence, then, is not an act but a habit.” <span class=""quote-author-name"">– Aristotle</span></div>","<span class=""quote-author-name"">– Aristotle</span>"
"<div class=""author-quotes"">“Always forgive your enemies; nothing annoys them so much.” <span class=""quote-author-name"">– Oscar Wilde</span></div>","<span class=""quote-author-name"">– Oscar Wilde</span>"
"<div class=""author-quotes"">“The big lesson in life, baby, is never be scared of anyone or anything.” <span class=""quote-author-name"">– Frank Sinatra</span></div>","<span class=""quote-author-name"">– Frank Sinatra</span>"
